,state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율
86,False,11388.54,2020-09-03,13972000.0,1.059154274677,5889693.984481734,1226.8473395184983
87,True,12301000.0,2020-09-05,10446.25,1.059154274677,5889693.984481734,1177.5517530214192
88,False,10166.69,2020-09-06,12630000.0,1.0498027117566717,6183016.716325881,1242.2922308047162
89,True,12353000.0,2020-09-08,10373.45,1.0498027117566717,6183016.716325881,1190.8285093194645
90,False,10126.66,2020-09-09,12388000.0,1.0223922944548867,6321468.647257336,1223.3056111294345
91,True,12130000.0,2020-09-10,10219.29,1.0223922944548867,6321468.647257336,1186.97091480915
92,False,10417.22,2020-09-22,12828000.0,1.0325893827984132,6527481.408850973,1231.4225868321876
93,True,12290000.0,2020-09-23,10529.61,1.0325893827984132,6527481.408850973,1167.1847295388907
94,False,10241.46,2020-09-24,12346000.0,1.0281311627274345,6711107.050563662,1205.492185684463
95,True,11943000.0,2020-09-25,10736.33,1.0281311627274345,6711107.050563662,1112.391291996427
96,False,10686.57,2020-09-26,12495000.0,1.046473144910384,7022993.301033607,1169.224550066111
97,True,12456000.0,2020-09-27,10728.59,1.046473144910384,7022993.301033607,1161.0099742836665
98,False,10619.13,2020-10-02,12562000.0,1.0144489651702844,7124468.286631381,1182.959432646554
99,True,12440000.0,2020-10-03,10570.4,1.0144489651702844,7124468.286631381,1176.8712631499282
100,False,17149.47,2020-11-27,20840000.0,1.0270751194409726,7317364.116445348,1215.1979040751696
101,True,19226000.0,2020-11-28,17139.53,1.0270751194409726,7317364.116445348,1121.7343766135946
102,False,23232.39,2020-12-24,26776000.0,1.0205005026431186,7467373.758855198,1152.528861645315
103,True,26380000.0,2020-12-25,23728.99,1.0205005026431186,7467373.758855198,1111.7203049940179
104,False,31989.75,2021-01-05,37537000.0,1.0463462392521055,7813458.449667995,1173.4071069639494
105,True,36478000.0,2021-01-06,33949.53,1.0463462392521055,7813458.449667995,1074.4773197154718
106,False,40586.96,2021-01-09,44698000.0,1.0142747963046563,7924993.977471902,1101.2896753045807
107,True,38496000.0,2021-01-14,37371.38,1.0142747963046563,7924993.977471902,1030.0930819252594
108,False,39145.21,2021-01-15,41380000.0,1.0157968205427952,8050183.685136758,1057.0897435471672
