"날짜","종가","오픈","고가","저가","변동 %"
"2015년 12월 08일","183.95","183.41","184.68","182.67","0.21%"
"2015년 12월 07일","183.57","181.66","183.74","181.61","0.98%"
"2015년 12월 04일","181.79","180.22","182.52","180.19","0.78%"
"2015년 12월 03일","180.38","181.60","183.03","179.91","-0.75%"
"2015년 12월 02일","181.75","180.45","182.46","180.19","0.63%"
"2015년 12월 01일","180.62","181.24","181.72","180.39","-0.43%"
"2015년 11월 30일","181.40","180.72","181.62","180.45","0.28%"
"2015년 11월 27일","180.90","179.63","180.99","179.50","0.61%"
"2015년 11월 26일","179.81","178.89","180.21","178.53","0.40%"
"2015년 11월 25일","179.09","179.26","179.77","178.57","-0.21%"
"2015년 11월 24일","179.46","181.21","181.62","179.22","-1.06%"
"2015년 11월 23일","181.38","180.63","181.86","180.60","0.30%"
"2015년 11월 20일","180.83","180.91","181.94","180.04","-0.12%"
"2015년 11월 19일","181.05","182.48","182.95","180.86","-0.89%"
"2015년 11월 18일","182.67","183.17","184.21","182.47","-0.39%"
"2015년 11월 17일","183.39","183.39","183.94","182.82","-0.10%"
"2015년 11월 16일","183.58","183.44","184.48","183.38","-0.02%"
"2015년 11월 13일","183.62","181.85","183.82","181.64","0.88%"
"2015년 11월 12일","182.01","181.27","182.61","180.66","0.32%"
"2015년 11월 11일","181.43","181.97","182.18","181.09","-0.41%"
"2015년 11월 10일","182.17","181.97","182.77","181.57","0.02%"
"2015년 11월 09일","182.13","181.42","182.75","180.76","0.37%"
"2015년 11월 06일","181.45","179.15","181.94","178.87","1.19%"
"2015년 11월 05일","179.31","179.01","180.13","178.81","0.07%"
"2015년 11월 04일","179.18","178.16","179.78","177.85","0.48%"
"2015년 11월 03일","178.33","179.47","179.71","178.00","-0.72%"
"2015년 11월 02일","179.63","180.38","180.83","179.06","-0.55%"
"2015년 10월 30일","180.62","179.48","180.88","178.75","0.52%"
"2015년 10월 29일","179.68","180.07","180.66","179.19","-0.26%"
"2015년 10월 28일","180.14","178.64","180.75","177.33","0.73%"
"2015년 10월 27일","178.83","177.61","179.04","177.52","0.57%"
"2015년 10월 26일","177.81","178.88","179.45","177.42","-0.63%"
"2015년 10월 23일","178.93","177.62","179.24","176.68","0.65%"
"2015년 10월 22일","177.78","179.38","179.88","177.51","-0.99%"
"2015년 10월 21일","179.56","178.06","179.86","177.61","0.75%"
"2015년 10월 20일","178.23","177.81","178.61","177.02","0.13%"
"2015년 10월 19일","178.00","177.99","178.43","175.80","-0.06%"
"2015년 10월 16일","178.11","176.81","178.41","176.74","0.64%"
"2015년 10월 15일","176.97","178.92","179.55","176.51","-1.20%"
"2015년 10월 14일","179.12","181.13","182.12","178.69","-1.24%"
"2015년 10월 13일","181.37","180.74","181.77","180.68","0.23%"
"2015년 10월 12일","180.95","180.74","181.58","180.13","0.01%"
"2015년 10월 09일","180.94","181.28","181.66","179.51","-0.30%"
"2015년 10월 08일","181.48","182.29","183.13","181.15","-0.46%"
"2015년 10월 07일","182.31","182.59","183.91","181.01","-0.24%"
"2015년 10월 06일","182.75","182.54","184.08","182.45","0.05%"
"2015년 10월 05일","182.66","184.36","184.96","182.22","-1.03%"
"2015년 10월 02일","184.56","185.31","186.54","184.32","-0.48%"
"2015년 10월 01일","185.45","186.25","186.51","184.70","-0.54%"
"2015년 09월 30일","186.45","187.67","188.19","185.55","-0.80%"
"2015년 09월 29일","187.95","187.58","188.52","187.42","0.08%"
"2015년 09월 28일","187.80","187.07","187.95","186.92","0.33%"
"2015년 09월 25일","187.18","186.47","188.06","186.18","0.31%"
"2015년 09월 24일","186.60","187.04","188.13","186.08","-0.32%"
"2015년 09월 23일","187.19","185.76","187.36","185.44","0.67%"
"2015년 09월 22일","185.94","184.83","186.44","184.11","0.49%"
"2015년 09월 21일","185.03","184.20","185.47","183.75","0.39%"
"2015년 09월 18일","184.32","183.01","184.40","182.19","0.56%"
"2015년 09월 17일","183.30","183.47","184.31","181.77","-0.21%"
"2015년 09월 16일","183.68","184.90","185.67","183.45","-0.77%"
"2015년 09월 15일","185.11","185.55","186.52","184.70","-0.34%"
"2015년 09월 14일","185.75","185.27","186.04","184.52","0.12%"
"2015년 09월 11일","185.52","185.33","186.18","185.19","0.01%"
"2015년 09월 10일","185.50","186.54","188.08","185.11","-0.71%"
"2015년 09월 09일","186.82","187.47","187.87","185.75","-0.46%"
"2015년 09월 08일","187.68","188.89","190.01","187.12","-0.72%"
"2015년 09월 07일","189.04","188.84","189.71","188.03","0.02%"
"2015년 09월 04일","189.01","187.13","189.08","186.61","0.86%"
"2015년 09월 03일","187.39","186.07","187.82","185.90","0.59%"
"2015년 09월 02일","186.30","185.28","186.54","184.56","0.48%"
"2015년 09월 01일","185.41","185.38","185.70","183.56","-0.05%"
"2015년 08월 31일","185.50","184.61","185.89","184.40","0.44%"
"2015년 08월 28일","184.69","183.14","185.50","183.06","0.75%"
"2015년 08월 27일","183.31","184.34","185.52","182.66","-0.68%"
"2015년 08월 26일","184.56","185.51","186.34","184.29","-0.62%"
"2015년 08월 25일","185.71","185.76","187.18","183.06","-0.13%"
"2015년 08월 24일","185.96","186.96","188.68","185.12","-0.65%"
"2015년 08월 21일","187.18","185.27","187.26","185.17","0.93%"
"2015년 08월 20일","185.46","184.98","186.72","184.29","0.17%"
"2015년 08월 19일","185.14","185.27","185.94","184.53","-0.19%"
"2015년 08월 18일","185.50","184.85","185.78","184.40","0.24%"
"2015년 08월 17일","185.05","184.36","185.55","184.19","0.30%"
"2015년 08월 14일","184.50","184.05","185.22","183.63","0.17%"
"2015년 08월 13일","184.18","183.55","184.88","182.05","0.23%"
"2015년 08월 12일","183.75","186.22","188.75","183.25","-1.44%"
"2015년 08월 11일","186.44","186.51","188.75","185.06","-0.13%"
"2015년 08월 10일","186.68","187.38","188.36","186.44","-0.47%"
"2015년 08월 07일","187.56","187.26","188.77","186.83","0.09%"
"2015년 08월 06일","187.39","188.86","189.13","187.10","-0.88%"
"2015년 08월 05일","189.05","188.09","189.56","187.93","0.39%"
"2015년 08월 04일","188.32","188.38","188.86","186.63","-0.14%"
"2015년 08월 03일","188.58","187.79","188.72","187.07","0.37%"
"2015년 07월 31일","187.88","188.73","189.14","186.20","-0.56%"
"2015년 07월 30일","188.93","186.99","189.31","186.94","0.95%"
"2015년 07월 29일","187.16","186.71","187.20","185.96","0.14%"
"2015년 07월 28일","186.89","187.83","188.67","186.58","-0.60%"
"2015년 07월 27일","188.02","188.38","189.18","187.35","-0.24%"
"2015년 07월 24일","188.47","186.98","189.25","186.63","0.70%"
"2015년 07월 23일","187.16","186.15","187.95","186.10","0.45%"
"2015년 07월 22일","186.33","184.85","186.61","184.81","0.71%"
"2015년 07월 21일","185.01","186.10","186.92","184.72","-0.68%"
"2015년 07월 20일","186.27","185.05","186.66","184.99","0.56%"
"2015년 07월 17일","185.23","184.52","185.41","184.31","0.29%"
"2015년 07월 16일","184.69","184.61","185.41","183.91","-0.06%"
"2015년 07월 15일","184.81","183.90","185.09","183.37","0.37%"
"2015년 07월 14일","184.12","182.91","184.42","182.75","0.57%"
"2015년 07월 13일","183.07","182.12","183.18","181.53","0.49%"
"2015년 07월 10일","182.18","182.17","182.63","181.25","-0.10%"
"2015년 07월 09일","182.36","182.85","183.76","181.77","-0.28%"
"2015년 07월 08일","182.88","182.57","183.57","182.18","0.08%"
"2015년 07월 07일","182.74","181.25","183.23","181.14","0.76%"
"2015년 07월 06일","181.36","180.64","181.92","180.63","0.25%"
"2015년 07월 03일","180.90","180.90","181.37","179.94","-0.09%"
"2015년 07월 02일","181.07","181.26","181.64","180.19","-0.20%"
"2015년 07월 01일","181.44","180.33","181.73","179.73","0.45%"
"2015년 06월 30일","180.62","180.23","180.70","179.53","0.11%"
