날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프
2022-07-01,26572000.0,19942.21,1288.05,2022-07-01 09:00:00,1298.247314453125,25686563.590499997,0.034470800517180766,1332.4501146061546,-0.004083203675306291,0.0031105613984018787,0.001458379073891819
2022-07-02,25999000.0,19279.8,1288.05,2022-07-02 09:00:00,1297.65625,24833346.389999997,0.04693904686439665,1348.509839313686,-0.006685221434026084,0.0031105613984018787,0.0015541441154219293
2022-07-03,25576000.0,19252.82,1288.05,2022-07-03 09:00:00,1296.374755859375,24798594.801,0.031348760090577965,1328.4287704346689,-0.0034316601937905145,0.0031105613984018787,0.0017617734846873956
2022-07-04,25465000.0,19315.83,1298.92,2022-07-04 09:00:00,1294.809814453125,25089717.903600004,0.014957605256540107,1318.3487326198251,-0.001798479184748042,0.001349389675201651,0.002015327353422691
2022-07-05,25454000.0,20236.71,1296.06,2022-07-05 09:00:00,1293.0640869140625,26227990.3626,-0.02951009024708484,1257.8131524343632,0.008009575283527415,0.0018127706437713886,0.0022981724296148587
2022-07-06,26399000.0,20175.84,1309.09,2022-07-06 09:00:00,1291.415283203125,26411990.385599997,-0.0004918366775977789,1308.4461415237236,-0.00019404832689448592,-0.00029836712562131273,0.002565313779459427
2022-07-07,26523000.0,20564.51,1305.14,2022-07-07 09:00:00,1289.7176513671875,26839564.5814,-0.011794698846172125,1289.7462667479072,0.0028357300247663086,0.0003416170792214235,0.002840366326456456
2022-07-08,26953000.0,21624.99,1297.97,2022-07-08 09:00:00,1288.2598876953125,28068588.2703,-0.03974507943031924,1246.3820792518286,0.009861652823077771,0.0015033099269992911,0.0030765551174421757
2022-07-09,28129000.0,21594.75,1297.97,2022-07-09 09:00:00,1287.552734375,28029337.6575,0.0035556438656456635,1302.5851190682922,0.000755562254296599,0.0015033099269992911,0.0031911290302022166
2022-07-10,28241000.0,21592.15,1297.97,2022-07-10 09:00:00,1286.923828125,28025962.935500003,0.007672780592584472,1307.929039025757,-0.00011026669879743434,0.0015033099269992911,0.003293025249525461
