"날짜","종가","오픈","고가","저가","변동 %"
"2018년 09월 13일","1,309.29","1,301.44","1,312.53","1,300.85","0.53%"
"2018년 09월 12일","1,302.40","1,304.62","1,312.20","1,299.63","-0.17%"
"2018년 09월 11일","1,304.62","1,309.65","1,319.71","1,302.60","-0.41%"
"2018년 09월 10일","1,310.01","1,304.98","1,314.02","1,302.08","0.47%"
"2018년 09월 07일","1,303.84","1,305.23","1,310.42","1,299.27","-0.02%"
"2018년 09월 06일","1,304.06","1,301.13","1,307.91","1,299.92","0.12%"
"2018년 09월 05일","1,302.44","1,295.63","1,306.10","1,293.09","0.55%"
"2018년 09월 04일","1,295.28","1,292.70","1,297.61","1,289.64","0.20%"
"2018년 09월 03일","1,292.70","1,294.65","1,297.08","1,287.89","-0.15%"
"2018년 08월 31일","1,294.62","1,301.07","1,304.88","1,294.07","-0.49%"
"2018년 08월 30일","1,301.02","1,300.16","1,302.49","1,294.89","0.05%"
"2018년 08월 29일","1,300.34","1,296.16","1,302.12","1,294.56","0.32%"
"2018년 08월 28일","1,296.16","1,294.97","1,299.25","1,292.88","0.08%"
"2018년 08월 27일","1,295.15","1,297.54","1,299.46","1,291.57","-0.01%"
"2018년 08월 24일","1,295.28","1,296.74","1,300.63","1,289.63","-0.19%"
"2018년 08월 23일","1,297.76","1,296.20","1,301.99","1,294.69","0.11%"
"2018년 08월 22일","1,296.27","1,292.69","1,300.61","1,291.17","0.33%"
"2018년 08월 21일","1,292.03","1,282.93","1,294.20","1,282.40","0.64%"
"2018년 08월 20일","1,283.83","1,281.10","1,285.44","1,279.12","0.25%"
"2018년 08월 17일","1,280.60","1,281.42","1,283.12","1,277.92","-0.15%"
"2018년 08월 16일","1,282.47","1,286.49","1,291.21","1,279.68","-0.31%"
"2018년 08월 15일","1,286.49","1,279.84","1,290.38","1,278.81","0.52%"
"2018년 08월 14일","1,279.84","1,297.31","1,298.01","1,279.36","-1.34%"
"2018년 08월 13일","1,297.20","1,287.74","1,297.98","1,285.05","0.59%"
"2018년 08월 10일","1,289.63","1,295.26","1,299.81","1,287.28","-0.44%"
"2018년 08월 09일","1,295.27","1,297.97","1,301.07","1,293.86","-0.15%"
"2018년 08월 08일","1,297.24","1,295.63","1,301.70","1,294.26","0.04%"
"2018년 08월 07일","1,296.70","1,301.90","1,304.60","1,295.40","-0.39%"
"2018년 08월 06일","1,301.73","1,299.87","1,304.72","1,296.59","0.18%"
"2018년 08월 03일","1,299.42","1,306.74","1,310.53","1,297.99","-0.57%"
