state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),kimch premium,LSTM_pred_exchange_rate,pred premium(Lstm-liner-pre)
False,38324.72,2021-05-26,46932000.0,1.1124896295494189,42325885.02647277,38324.72,46932000.0,1122.54,0.09090830003670791,1116.671142578125,0.0308775897006803
True,43744000.0,2021-06-04,39246.78,1.1124896295494189,42325885.02647277,39246.78,43744000.0,1116.64,-0.0018374282497569672,1111.668701171875,0.0316880918489465
False,36829.15,2021-06-05,45429000.0,1.1033709372913374,46701151.43334464,36829.15,45429000.0,1116.64,0.10465916582947932,1110.2750244140625,0.0319138971936696
True,38495000.0,2021-06-10,37388.05,1.1033709372913374,46701151.43334464,37388.05,38495000.0,1117.03,-0.07826374082105891,1104.25390625,0.0328894466925283
False,36677.83,2021-06-11,43282000.0,1.1430673295813467,53382560.45728734,36677.83,43282000.0,1112.56,0.060669903214103815,1103.52685546875,0.0330072444181279
True,42836000.0,2021-06-12,37331.98,1.1430673295813467,53382560.45728734,37331.98,42836000.0,1112.56,0.03134613112257223,1103.0631103515625,0.0330823810130831
False,35546.12,2021-06-13,43698000.0,1.0685802033201242,57043547.30719692,35546.12,43698000.0,1112.56,0.10495836998271568,1102.887939453125,0.0331107624328675
True,41430000.0,2021-06-14,39020.56,1.0685802033201242,57043547.30719692,39020.56,41430000.0,1116.55,-0.049081581154154175,1102.9122314453125,0.0331068266122841
False,40516.28,2021-06-15,44746000.0,1.0375345694617093,59184652.295941204,40516.28,44746000.0,1117.33,-0.011576198236722068,1103.10888671875,0.0330749642657527
True,37397000.0,2021-06-23,32509.56,1.0375345694617093,59184652.295941204,32509.56,37397000.0,1133.73,0.014649472598476487,1110.2529296875,0.0319174770103811
False,31576.09,2021-06-26,40100000.0,1.1014167002639552,65186964.43806508,31576.09,40100000.0,1131.87,0.12199125560662805,1115.4366455078125,0.0310776045426865
True,37152000.0,2021-06-27,32283.65,1.1014167002639552,65186964.43806508,32283.65,37152000.0,1131.87,0.016723867210858723,1117.0400390625,0.0308178206061937
False,35045.0,2021-07-01,41528000.0,1.0273750209412844,66971458.95465588,35045.0,41528000.0,1130.63,0.04808003167186392,1120.6715087890625,0.0302294450959748
True,39320000.0,2021-07-03,33786.54,1.0273750209412844,66971458.95465588,33786.54,39320000.0,1134.51,0.025797088093355347,1120.5733642578125,0.0302453466022512
False,33690.15,2021-07-06,40915000.0,1.0411893703148416,69729971.17806442,33690.15,40915000.0,1130.59,0.07417359150758007,1120.19970703125,0.0303058870384601
True,39509000.0,2021-07-07,34220.02,1.0411893703148416,69729971.17806442,34220.02,39509000.0,1136.93,0.015504967583597873,1120.096435546875,0.0303226192204375
False,33862.11,2021-07-08,39814000.0,1.0161168447763036,70853798.29979742,33862.11,39814000.0,1141.65,0.029885194781916535,1120.232421875,0.030300586536368
True,39069000.0,2021-07-10,33815.81,1.0161168447763036,70853798.29979742,33815.81,39069000.0,1146.81,0.007444265939395622,1120.67333984375,0.0302291484260815
False,33502.87,2021-07-11,39801000.0,1.0260031195138988,72696218.08500072,33502.87,39801000.0,1146.81,0.03590636232301936,1121.125,0.0301559698524216
True,39633000.0,2021-07-12,34259.0,1.0260031195138988,72696218.08500072,34259.0,39633000.0,1145.31,0.010088002183502809,1121.859619140625,0.0300369458912633
False,33086.94,2021-07-13,40194000.0,1.0478080752881176,76171684.35236986,33086.94,40194000.0,1147.18,0.05894415466906677,1122.86181640625,0.0298745685697097
True,37205000.0,2021-07-19,31778.57,1.0478080752881176,76171684.35236986,31778.57,37205000.0,1142.5,0.024733064524913306,1133.3067626953125,0.0281822646088411
False,30839.65,2021-07-20,37663000.0,1.0409758924958359,79292887.10161932,30839.65,37663000.0,1151.92,0.0601886510973646,1134.8763427734375,0.0279279591763764
