state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),unofficial exchange rate,kimch premium,pred premium(un_official)
False,39942.37,2022-04-15,51645000.0,1.0505202567267633,659510025.1311867,39942.37,51645000.0,1230.26,1292.987872276983,0.05098749229998778,0.0023105208255411
True,50275000.0,2022-04-16,40551.9,1.0505202567267633,659510025.1311867,40551.9,50275000.0,1230.26,1239.7692833134822,0.007729490769009972,0.0109330667345689
False,40378.7,2022-04-17,50807000.0,1.0135602651836384,668453155.9632336,40378.7,50807000.0,1230.26,1258.2624007211725,0.022761368102004687,0.0079367874841323
True,49962000.0,2022-04-19,40801.13,1.0135602651836384,668453155.9632336,40801.13,49962000.0,1235.45,1224.5249089914912,-0.008843005389541303,0.0134029803494511
False,41358.19,2022-04-21,51459000.0,1.0147336472876967,678301908.9915435,41358.19,51459000.0,1233.98,1244.2275641172882,0.008304481529107788,0.0102107302041411
True,49620000.0,2022-04-26,40426.08,1.0147336472876967,678301908.9915435,40426.08,49620000.0,1250.22,1227.42546395792,-0.018232419927756593,0.0129330286117821
False,38112.64,2022-04-27,50614000.0,1.0805121290589719,732913439.8292177,38112.64,50614000.0,1260.98,1328.0108646370338,0.0531577539985042,-0.0033639505457908
True,48718000.0,2022-04-28,39235.72,1.0805121290589719,732913439.8292177,39235.72,48718000.0,1266.4,1241.674678073959,-0.019524101331365284,0.0106243521647726
False,39742.06,2022-04-29,49954000.0,1.010970472276295,740953846.4017882,39742.06,49954000.0,1272.38,1256.955477395988,-0.012122575491607779,0.0081485369233876
True,48772000.0,2022-05-05,39690.0,1.010970472276295,740953846.4017882,39690.0,48772000.0,1251.53,1228.8233812043336,-0.018143087896947185,0.0127065362175081
False,36552.97,2022-05-06,50631000.0,1.1257284650475956,834112836.180997,36552.97,50631000.0,1269.56,1385.1405234649878,0.09103982755048046,-0.0126201731478026
True,39967000.0,2022-05-16,31328.89,1.1257284650475956,834112836.180997,31328.89,39967000.0,1278.56,1275.7234616355702,-0.0022185414563490324,0.0051077233866609
False,29874.01,2022-05-17,40902000.0,1.071856393065365,894049175.9984852,29874.01,40902000.0,1280.64,1369.149973505398,0.0691138598711567,-0.0100293631728946
True,37100000.0,2022-05-20,30319.22,1.071856393065365,894049175.9984852,30319.22,37100000.0,1263.99,1223.646254751936,-0.031917772488756824,0.0135453410671304
False,29201.01,2022-05-21,38781000.0,1.0839571582878433,969111004.1849059,29201.01,38781000.0,1263.99,1328.0705016710037,0.05069700050712722,-0.0033736130166172
True,38037000.0,2022-05-23,30293.93,1.0839571582878433,969111004.1849059,30293.93,38037000.0,1270.41,1255.5980686559983,-0.011659174080810186,0.0083684660760735
False,29109.14,2022-05-24,38933000.0,1.0638649187159857,1031003199.6939422,29109.14,38933000.0,1258.87,1337.483690689591,0.062447822801076525,-0.0048987503049958
True,37436000.0,2022-05-25,29654.58,1.0638649187159857,1031003199.6939422,29654.58,37436000.0,1261.14,1262.4019628671188,0.0010006524788035431,0.0072660901706207
False,29542.14,2022-05-26,37827000.0,1.0130075241454553,1044413998.7080027,29542.14,37827000.0,1266.55,1280.4421074438073,0.010968463498328251,0.0043432021751371
