state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율,seed_fiat,seed_krw,바이낸스USDT,비트코인KRW,달러환율,김치프리미엄,선형회귀예상김프,LSTM달러_예측값_예상김프
True,52335000.0,2021-08-12,45510.67,1.053725990761048,105111892.69895762,1149.9501106004373,91309.81688784486,105386138.25927503,45510.67,52335000.0,1154.16,0.003647578671555851,-0.0248035956228062,-0.0264224583582695
False,44400.06,2021-08-13,52585000.0,1.0277634810572276,108030164.74079448,1184.3452463802978,108030164.74079448,108030164.74079448,44400.06,52585000.0,1163.16,-0.018213527270794838,-0.0233454037636708,-0.0264224583582695
True,52078000.0,2021-08-14,47799.99,1.0277634810572276,108030164.74079448,1089.4981358782711,99053.39254525893,115214944.07294339,47799.99,52078000.0,1163.16,0.06332908982575824,-0.0233454037636708,-0.0267481623450349
False,47068.5,2021-08-15,55145000.0,1.073133308824501,115930768.14114471,1171.5903417359805,115930768.14114471,115930768.14114471,47068.5,55145000.0,1163.16,-0.007247791994205777,-0.0233454037636708,-0.0267481623450349
True,54817000.0,2021-08-16,46973.82,1.073133308824501,115930768.14114471,1166.9691755961087,99241.59740652074,115355455.57741751,46973.82,54817000.0,1162.37,-0.003956722554873782,-0.0234734006046394,-0.0269278849663451
False,45901.3,2021-08-17,54638000.0,1.017942785546582,118010889.05215178,1190.3366571317151,118010889.05215178,118010889.05215178,45901.3,54638000.0,1165.45,-0.021353689245969365,-0.0229743749461797,-0.0269278849663451
True,52674000.0,2021-08-19,44699.37,1.017942785546582,118010889.05215178,1178.4058701498477,100044.21188510674,117079740.2849027,44699.37,52674000.0,1170.28,-0.006943526463622174,-0.0221918119817771,-0.0267863338712953
False,47674.01,2021-08-25,57627000.0,1.023687175841711,120806233.73236674,1208.7718234736285,120806233.73236674,120806233.73236674,47674.01,57627000.0,1164.02,-0.03844592315735862,-0.0232060654304646,-0.0267863338712953
True,56168000.0,2021-08-26,48973.32,1.023687175841711,120806233.73236674,1146.9101951838265,105224.63780890526,122486739.64145616,48973.32,56168000.0,1164.05,0.014724285740452148,-0.0232012047909341,-0.024209122952942
False,46843.86,2021-08-27,57088000.0,1.060438674161346,128107602.32957666,1218.6869314356247,128107602.32957666,128107602.32957666,46843.86,57088000.0,1170.71,-0.04098105545833275,-0.0221221428151739,-0.024209122952942
True,55255000.0,2021-08-28,49069.9,1.060438674161346,128107602.32957666,1126.046721106014,113655.15945981783,133057231.73120335,49069.9,55255000.0,1170.71,0.038150591430829106,-0.0221221428151739,-0.0234352694254844
False,48895.35,2021-08-29,57400000.0,1.0404704489120076,133292174.50489557,1173.9357628077107,133292174.50489557,133292174.50489557,48895.35,57400000.0,1170.71,-0.0027553901544454806,-0.0221221428151739,-0.0234352694254844
True,57428000.0,2021-08-30,48767.84,1.0404704489120076,133292174.50489557,1177.579322766807,113079.87772785545,131436134.27941822,48767.84,57428000.0,1162.33,-0.013119615571143273,-0.0234798814573467,-0.0229802766992554
False,46982.91,2021-08-31,57272000.0,1.0331420453360305,137709749.7952749,1218.9964393435826,137709749.7952749,137709749.7952749,46982.91,57272000.0,1166.07,-0.04538873253199416,-0.0228739217292171,-0.0229802766992554
True,55800000.0,2021-09-01,47100.89,1.0331420453360305,137709749.7952749,1184.690989915477,116128.94588039434,134587641.82808304,47100.89,55800000.0,1158.95,-0.022210612981989897,-0.0240275135111108,-0.0228515021876068
False,46868.57,2021-09-08,60839000.0,1.0935980610277045,150599115.36072296,1298.0767281783933,150599115.36072296,150599115.36072296,46868.57,60839000.0,1162.16,-0.11695182090107492,-0.0235074250813525,-0.0228515021876068
True,54800000.0,2021-09-13,46025.23,1.0935980610277045,150599115.36072296,1190.651301470954,126367.34883469387,147897817.729149,46025.23,54800000.0,1170.38,-0.01732027330521202,-0.0221756098500089,-0.0262344883139278
False,44940.72,2021-09-14,55078000.0,1.0274268575847414,154729575.85010955,1225.5700398213469,154729575.85010955,154729575.85010955,44940.72,55078000.0,1173.44,-0.04442497257750455,-0.0216798246179028,-0.0262344883139278
True,54340000.0,2021-09-15,47103.28,1.0274268575847414,154729575.85010955,1153.6351608635323,134000.63553538398,157103685.10803953,47103.28,54340000.0,1172.41,0.016013885190733435,-0.021846706575115,-0.0263804301233972
False,48121.4,2021-09-16,56564000.0,1.017031368543274,157364832.28095722,1175.4437734563,157364832.28095722,157364832.28095722,48121.4,56564000.0,1166.39,-0.007762218002812071,-0.0228220749075589,-0.0263804301233972
True,57178000.0,2021-09-17,47737.81,1.017031368543274,157364832.28095722,1197.7507975334436,131261.8338636175,154279909.04994145,47737.81,57178000.0,1175.36,-0.01905016125565262,-0.021368743687954,-0.0262427357369592
False,47241.75,2021-09-20,58597000.0,1.0336627002302443,162662157.45681375,1240.3647197658852,162662157.45681375,162662157.45681375,47241.75,58597000.0,1181.56,-0.04976871235137037,-0.0203642115183274,-0.0262427357369592
True,50699000.0,2021-09-23,43546.37,1.0336627002302443,162662157.45681375,1164.2531857420033,139590.72283300714,164994838.4813861,43546.37,50699000.0,1181.99,0.015005891977086794,-0.0202945423517242,-0.0247808256151621
False,44865.26,2021-09-24,53853000.0,1.02916130853161,167405598.81682923,1200.3273802492172,167405598.81682923,167405598.81682923,44865.26,53853000.0,1174.83,-0.02170303809846308,-0.0214546149863253,-0.0247808256151621
